發生地點,天候名稱,行動電話或電腦或其他相類功能裝置名稱,Date_ID,是否酒駕,死亡人數,受傷人數
臺中市,晴,0,20220408092000,0,1,0
宜蘭縣,雨,0,20220408092826,0,1,0
新北市,晴,0,20220408142300,0,1,2
雲林縣,晴,0,20220409052200,0,1,0
高雄市,晴,0,20220410022300,0,1,0
臺中市,晴,0,20220410165700,0,1,0
宜蘭縣,晴,0,20220410190100,0,1,0
高雄市,晴,0,20220410225000,0,1,2
高雄市,晴,0,20220411054500,0,1,0
嘉義縣,晴,0,20220411083100,0,1,1
高雄市,晴,0,20220411214500,1,1,0
新北市,晴,0,20220412112700,0,1,0
桃園市,晴,0,20220412132200,0,1,0
臺中市,晴,0,20220412231700,0,1,0
桃園市,晴,0,20220413103333,0,1,0
新竹市,晴,0,20220413191900,0,1,1
新北市,晴,0,20220414050000,0,1,0
臺南市,晴,0,20220414072817,0,1,0
雲林縣,晴,0,20220414131318,1,1,1
臺中市,晴,0,20220414134300,0,1,0
彰化縣,晴,0,20220414142300,0,1,0
新北市,陰,0,20220414144200,0,1,1
高雄市,晴,0,20220414145000,0,1,0
宜蘭縣,晴,0,20220414145941,0,1,0
新竹市,晴,0,20220414153200,1,1,0
屏東縣,晴,0,20220414155700,0,1,0
苗栗縣,晴,0,20220414212500,0,1,0
雲林縣,晴,0,20220415051200,0,1,1
高雄市,晴,0,20220415083800,0,1,1
桃園市,晴,0,20220415214300,0,1,1
彰化縣,晴,0,20220415214800,0,1,0
屏東縣,晴,0,20220416044903,0,1,0
嘉義縣,晴,0,20220416063000,0,1,0
彰化縣,晴,0,20220416074500,0,1,1
苗栗縣,晴,0,20220416170100,0,1,0
屏東縣,晴,0,20220416191000,0,1,0
臺中市,晴,0,20220416213400,0,1,0
新北市,晴,0,20220417082900,0,1,2
新北市,晴,0,20220417154000,0,1,0
臺中市,晴,0,20220417163000,0,1,0
臺南市,陰,0,20220417192900,0,1,0
臺南市,晴,0,20220417194023,0,1,0
臺南市,晴,0,20220418051112,0,1,0
高雄市,晴,0,20220418082300,0,1,0
彰化縣,晴,0,20220418112400,0,1,0
雲林縣,晴,0,20220418214800,0,1,0
彰化縣,晴,0,20220418233100,0,1,2
臺北市,雨,0,20220419044200,0,1,1
嘉義縣,陰,0,20220419174400,0,1,1
南投縣,雨,0,20220419190000,0,1,1
彰化縣,晴,0,20220420083500,0,1,0
雲林縣,晴,0,20220421004600,0,1,0
高雄市,晴,0,20220421044400,0,1,0
基隆市,陰,0,20220421061600,0,1,0
臺中市,晴,0,20220421075000,0,1,0
臺南市,晴,0,20220421110400,0,1,0
新竹縣,晴,0,20220421201200,0,1,1
臺南市,晴,0,20220422095700,0,1,0
雲林縣,晴,0,20220422105200,0,1,0
臺中市,晴,0,20220422115300,0,1,0
臺南市,晴,0,20220422184009,0,1,1
雲林縣,晴,0,20220423010022,0,1,3
新竹縣,陰,0,20220423043600,0,1,0
嘉義市,雨,0,20220423053500,1,1,1
臺東縣,晴,0,20220423055300,0,1,0
新北市,陰,0,20220423061700,1,1,0
屏東縣,晴,0,20220423072437,0,1,0
新竹縣,晴,0,20220423094800,0,1,2
屏東縣,晴,0,20220423143400,0,1,1
高雄市,陰,0,20220423144500,0,1,0
桃園市,晴,0,20220423191600,0,1,0
雲林縣,晴,0,20220423192200,0,1,1
高雄市,晴,0,20220423193800,1,1,0
臺中市,晴,0,20220424062200,0,1,1
彰化縣,晴,0,20220424082200,0,1,0
屏東縣,晴,0,20220424091500,0,1,0
屏東縣,晴,0,20220425065522,0,1,0
