Date_ID,car_hit,county
20220902,front,臺北市
20220902,right,新北市
20220902,left,新北市
20220904,back,嘉義縣
20220906,front,新北市
20220907,left,高雄市
20220907,right,高雄市
20220908,front,屏東縣
20220908,right_back,新北市
20220908,left,新北市
20220908,front,新北市
20220909,front_right,苗栗縣
20220910,back,桃園市
20220910,front,桃園市
20220913,right,臺北市
20220913,front,屏東縣
20220913,back,雲林縣
20220913,left,雲林縣
20220914,front,新北市
20220914,front,基隆市
20220914,left_back,基隆市
20220914,front,臺北市
20220914,back,臺北市
20220914,front,臺北市
20220914,front_left,臺北市
20220914,front,屏東縣
20220914,left,屏東縣
20220914,right,臺北市
20220914,left,臺北市
20220915,front,臺北市
20220915,left_back,臺北市
20220916,back,雲林縣
20220916,front,新北市
20220917,front,臺南市
20220917,back,臺南市
20220917,back,臺南市
20220917,right_back,臺北市
20220917,back,臺北市
20220918,front,新北市
20220919,left,苗栗縣
20220920,front,新北市
20220921,front,新北市
20220921,front,高雄市
20220922,front,高雄市
20220922,right,桃園市
20220922,right,桃園市
20220923,front,新北市
20220924,front,新北市
20220924,left,高雄市
20220924,front,高雄市
20220924,left,高雄市
20220925,right,新北市
20220925,front,南投縣
20220925,front,苗栗縣
20220925,back,嘉義縣
20220926,front_left,新北市
20220926,front_right,新北市
20220926,front,臺北市
20220926,right,高雄市
20220926,right_back,高雄市
20220926,left,花蓮縣
20220927,front,新北市
20220927,right,高雄市
20220927,front,高雄市
20220929,front_right,新北市
20220929,front,新北市
20220930,right,雲林縣
20220930,right,新北市
20220930,left,新北市
20220930,front_right,臺北市
20221001,right,臺中市
20221001,front,臺北市
20221001,front,臺北市
20221002,right_back,新北市
20221003,front,臺北市
20221003,front,基隆市
20221003,right_back,基隆市
20221004,right,臺北市
20221005,front_left,高雄市
20221005,front,高雄市
20221005,right,新北市
20221005,right,桃園市
20221005,front,桃園市
20221006,front_right,高雄市
20221006,front,高雄市
20221006,right,臺北市
20221007,front,苗栗縣
20221007,front,新北市
20221007,back,新北市
20221007,front,臺南市
20221007,front,臺南市
20221007,front,屏東縣
20221008,right,高雄市
20221008,front,高雄市
20221008,front,高雄市
20221008,front,高雄市
20221008,left,高雄市
20221009,front,高雄市
20221009,left,高雄市
20221009,front,高雄市
20221010,front_left,高雄市
20221011,right,高雄市
20221011,front,高雄市
20221011,front,高雄市
20221011,right,高雄市
20221012,left,新北市
20221012,top,新北市
20221012,front_right,新北市
20221012,front,新北市
20221013,front,臺北市
20221013,front,新竹市
20221014,front,高雄市
20221014,back,高雄市
20221014,back,高雄市
20221014,front,新北市
20221017,right_back,屏東縣
20221017,left,屏東縣
20221017,front_right,雲林縣
20221018,right_back,新北市
20221018,left,新北市
20221018,front,苗栗縣
20221019,front,高雄市
20221019,left,高雄市
20221019,front,高雄市
20221020,back,桃園市
20221020,back,桃園市
20221020,back,桃園市
20221021,front,臺南市
20221021,front,臺中市
20221021,front_right,高雄市
20221022,right,新北市
20221022,front,新北市
20221022,front,新北市
20221022,front_right,臺南市
20221022,front,臺南市
20221022,front_left,新北市
20221023,front,臺北市
20221023,left,臺北市
20221023,left,臺北市
20221023,front,高雄市
20221023,left,高雄市
20221023,front,高雄市
20221023,front,高雄市
20221024,front_left,桃園市
20221024,left_back,新北市
20221025,right,新北市
20221025,front,臺北市
20221025,back,臺北市
20221025,front,新北市
20221026,front,高雄市
20221026,back,高雄市
20221026,left,高雄市
20221026,front,高雄市
20221027,front,新北市
20221028,right,臺北市
20221028,front,臺北市
20221028,right,高雄市
20221028,left,高雄市
20221028,front,臺北市
20221030,front_left,臺北市
20221031,left,新北市
20221031,front,新北市
20221101,front_right,臺北市
20221101,front_right,新北市
20221101,front,新北市
20221101,right,新北市
20221101,right,高雄市
20221101,front,臺北市
20221103,right,澎湖縣
20221105,front,高雄市
20221105,front_right,臺北市
20221105,front,臺東縣
20221106,back,新竹縣
20221107,front_right,高雄市
20221107,right,新竹縣
20221107,front,桃園市
20221107,back,桃園市
20221108,right,桃園市
20221109,front,臺南市
20221111,right,高雄市
20221111,left,高雄市
20221111,front,高雄市
20221112,right,彰化縣
20221112,front,宜蘭縣
20221114,front_right,臺北市
20221114,left_back,臺北市
20221114,front,雲林縣
20221114,front,新北市
20221114,left,新北市
20221115,front_right,臺北市
20221116,front_left,臺中市
20221116,front_left,新竹縣
20221118,front,高雄市
20221120,right,新北市
20221120,front,新北市
20221121,left,新竹縣
20221121,front,新竹縣
20221121,front,新北市
20221121,front,新北市
20221121,back,新北市
20221122,front_left,新北市
20221122,back,新北市
20221124,front,新北市
20221124,front,高雄市
20221125,front_left,基隆市
20221127,front,臺北市
20221127,front,臺北市
20221128,front,臺南市
20221128,front,臺南市
20221128,left,臺南市
20221129,right,新北市
20221129,left,新北市
20221129,front,新北市
20221129,front,臺南市
20221130,front,高雄市
20221130,front_right,高雄市
20221130,back,高雄市
20221201,right,南投縣
20221202,left,高雄市
20221202,front,高雄市
20221203,front_right,臺北市
20221203,front,臺北市
20221203,front_right,臺南市
20221203,front,臺南市
20221203,front,新北市
20221203,back,新北市
20221203,left_back,新北市
20221204,front,新北市
20221204,front_left,基隆市
20221204,front,高雄市
20221204,front,高雄市
20221205,front_left,臺南市
20221205,front,臺南市
20221205,front,屏東縣
20221206,front,臺南市
20221206,front,臺北市
20221206,front,臺中市
20221208,front,臺南市
20221208,left,臺南市
20221208,left,新北市
20221208,right,新北市
20221208,right,高雄市
20221208,front,高雄市
20221209,front,高雄市
20221209,front_left,高雄市
20221210,front,宜蘭縣
20221212,right,新北市
20221212,front,新北市
20221215,front_right,高雄市
20221215,left_back,高雄市
20221215,front,臺北市
20221216,front,新北市
20221217,left,新北市
20221217,front,新北市
20221219,front,新北市
20221219,front_left,高雄市
20221219,front,高雄市
20221220,right,新北市
20221220,left,新北市
20221220,front,高雄市
20221220,left_back,高雄市
20221221,front_right,新北市
20221222,front_left,屏東縣
20221222,front,屏東縣
20221223,left_back,桃園市
20221223,front,桃園市
20221224,front_right,臺南市
20221224,front,臺南市
20221224,front,新北市
20221226,right,高雄市
20221226,left,高雄市
20221226,left,高雄市
20221226,back,新北市
20221226,front,新北市
20221227,back,嘉義市
20221228,front,臺北市
20221229,front,高雄市
20221229,front,嘉義縣
20221229,front_left,臺北市
20221230,right,高雄市
20221230,left,高雄市
20221231,front,基隆市
20221231,right,高雄市
20221231,left,基隆市
20221231,front,基隆市
20221231,front,基隆市
